high,medium,low,listing_id
0.0678,0.456,0.4762,7142618
0.0796,0.1644,0.756,7210040
0.043,0.2112,0.7458,7103890
0.135,0.3924,0.4726,7143442
0.0376,0.2684,0.694,6860601
0.0056,0.0646,0.9298,6840081
0.0338,0.224,0.7422,6922337
0.0754,0.2508,0.6738,6913616
0.0572,0.256,0.6868,6937820
0.081,0.3882,0.5308,6893933
0.0224,0.0588,0.9188,6832604
0.0614,0.2876,0.651,6915282
0.0808,0.3934,0.5258,7127565
0.005,0.0298,0.9652,6827899
0.0024,0.0414,0.9562,6934855
0.0248,0.2,0.7752,6861826
0.0442,0.3268,0.629,6871643
0.0624,0.1792,0.7584,6842542
0.0758,0.0326,0.8916,6934145
0.0984,0.393,0.5086,6829365
0.031,0.1588,0.8102,7167858
0.0158,0.1178,0.8664,6859483
0.0232,0.1106,0.8662,6861377
0.0932,0.3136,0.5932,6848960
0.003,0.0288,0.9682,6918850
0.1352,0.4226,0.4422,6916867
0.0376,0.2468,0.7156,6895840
0.1584,0.2994,0.5422,6813539
0.1286,0.3394,0.532,7116900
0.0388,0.077,0.8842,6890328
0.1432,0.272,0.5848,6879406
0.0862,0.3034,0.6104,6824924
0.005,0.0204,0.9746,6911302
0.071,0.755,0.174,6918742
0.0258,0.1856,0.7886,6910586
0.0916,0.2812,0.6272,6821750
0.0672,0.6912,0.2416,6860647
0.0788,0.5248,0.3964,6932873
0.0114,0.0964,0.8922,6846053
0.0814,0.2984,0.6202,6940365
0.0452,0.1592,0.7956,6931867
0.0222,0.113,0.8648,6876383
0.082,0.3018,0.6162,6910980
0.0188,0.108,0.8732,6880877
0.0908,0.6702,0.239,6839552
0.221,0.3894,0.3896,6838051
0.321,0.2596,0.4194,6928201
0.041,0.59,0.369,6945608
0.0486,0.1794,0.772,6816147
0.0388,0.271,0.6902,6868129
0.026,0.3456,0.6284,6849448
0.5578,0.3146,0.1276,7113677
0.0366,0.1376,0.8258,6930856
0.1114,0.2364,0.6522,6889594
0.0392,0.142,0.8188,6842682
0.2212,0.4626,0.3162,6880366
0.0292,0.0494,0.9214,6835063
0.2332,0.3372,0.4296,6820479
0.0312,0.2558,0.713,6882057
0.0508,0.2462,0.703,6834440
0.0012,0.0076,0.9912,6880846
0.0006,0.0112,0.9882,6847248
0.0028,0.0422,0.955,6868368
0.007,0.0354,0.9576,6943505
0.0008,0.0064,0.9928,7174304
0.114,0.2928,0.5932,6880747
0.0792,0.3334,0.5874,6933565
0.0028,0.0144,0.9828,6888511
0.0346,0.4584,0.507,6942704
0.0616,0.1894,0.749,6840304
0.0646,0.2294,0.706,6856860
0.001,0.0082,0.9908,6884921
0.0404,0.141,0.8186,6937417
0.0084,0.0536,0.938,6831129
0.1308,0.4428,0.4264,6936660
0.012,0.0776,0.9104,6940667
0.015,0.0924,0.8926,7201307
0.0126,0.1034,0.884,6825434
0.0096,0.0326,0.9578,6848114
0.3576,0.4166,0.2258,6947758
0.1138,0.2644,0.6218,6897002
0.0062,0.0714,0.9224,6926661
0.0696,0.3576,0.5728,6867411
0.0428,0.225,0.7322,6910154
0.053,0.3524,0.5946,7157900
0.0548,0.265,0.6802,6922324
0.0652,0.1686,0.7662,6863068
0.0044,0.0378,0.9578,6912109
0.1244,0.3592,0.5164,6918609
0.206,0.3252,0.4688,6889300
0.0676,0.2482,0.6842,6837794
0.423,0.389,0.188,6943098
0.0696,0.3502,0.5802,6927601
0.0022,0.0086,0.9892,6897826
0.0072,0.0568,0.936,6882892
0.2474,0.3942,0.3584,6873384
0.0344,0.0922,0.8734,6934693
0.0472,0.3924,0.5604,7224450
0.0096,0.081,0.9094,6898157
0.0016,0.0284,0.97,6837355
0.1434,0.418,0.4386,6830595
0.1068,0.3902,0.503,6943561
0.291,0.4348,0.2742,6844380
0.0156,0.0956,0.8888,6814286
0.0906,0.5762,0.3332,6898520
0.5954,0.229,0.1756,6940979
0.0776,0.0964,0.826,6851090
0.0286,0.2206,0.7508,7107169
0.1628,0.0986,0.7386,6830287
0.068,0.4104,0.5216,6933575
0.088,0.4506,0.4614,6938972
0.002,0.011,0.987,6888315
0.0162,0.1468,0.837,6855106
0.1628,0.5316,0.3056,6838237
0.0394,0.1238,0.8368,6901024
0.0144,0.1212,0.8644,6846627
0.003,0.0168,0.9802,7219857
0.0206,0.2042,0.7752,6852685
0.0818,0.4224,0.4958,6831610
0.0194,0.1566,0.824,6943538
0.0078,0.043,0.9492,6911637
0.0142,0.0944,0.8914,6854543
0.1942,0.4066,0.3992,6940451
0.4002,0.25,0.3498,6819530
0.0408,0.3182,0.641,7093396
0.0126,0.116,0.8714,6840326
0.0178,0.1342,0.848,6834204
0.221,0.309,0.47,6902518
0.0824,0.2942,0.6234,6930253
